Name,Power,Bulk,Color1,Color2,Color3,Color4,Trait,Effect1,Effect2,Flavor,Image,Collection Group,Inspirations?,CardSet
Boil,1,1,Red,Cyan,Pink,Green,Quick-Set,,,,Kunoichi,,,
Boil,1,2,Red,Cyan,Pink,,,Double,Attacking: Recruit 1 per Any Engage,,Waifu Energy,,,
Boil,2,1,Red,Cyan,,,,Mimic Refresh 1,Shuffle ,,,,,
Flame Spawn,3,2,Red,,,,,R Leader: +1 DMG,Refresh upto 1,"Looks like a banana, tastes burnt.",,,,
Flame to Ash,4,4,Red,Yellow,,,,Laddering: +4 DMG,Parried: Opp Refresh 4 Controlled,,,,,
Conflagrant Flame,2,1,Red,Yellow,Violet,,,Unload: Attack,3+ Card Attack< +3 DMG,,"Either Stands or Missiles, lol",,,
Explosive Flame,3,2,Red,Yellow,Pink,,Attack Responsive,Recycle 1 Base 3,+DMG = # R's Recycled,,,,,
Ash Succession,4,5,Red,Blue,,,,Refresh Hand & Burn 1,Parried: Swap Play with 1 Held,,,,,
Searing Smash,4,4,Red,Green,Magenta,,,Beat & Draw 2,Remise 1 DMG,,Krakatuga,,,
Searing Checkered Rider,2,2,Red,Magenta,,,,Shift 2 Faceups 1 Border,Remise 1 DMG per Gated POW 2 ;,,Going Viral,,,
Searing Lion Shrapnel,3,2,Red,Violet,Pink,,,Healthy: Take 3 & Gap Opp Hand 1,Remise: Fragile: 5 DMG,,,,,
Knockout Rush,2,1,Red,Blue,,,,Bounce 1,"Blitz Opp Hand 1; Send any face up card, excluding Leaders, to the Opponent's hand.",,,,,
Parting Shot Rush,2,3,Red,Pink,,,,Gift Blitz 1,Healthy: All Players Recycle 1,,,,,
Explosive Storm,4,5,Red,Magenta,Orange,Blue,,Held: I-Phase: Shift 1 Gated 1,Recycle EDP X &: Burn X,,,,,
Searing Explosive,3,2,Red,Orange,,,Quick-Set,Faceup: Opponent Single: 1 DMG,Opp Plays 3+< Recycle Opp Play,,SL Architect,,,
Explosive Date,4,2,Red,Magenta,,,Attack Responsive,Choose BLK #: Opp Recycles All Helds with that BLK,Latent: End Phase: Recycle Base 1,,Reze,,,
Rising Explosive Phoenix,5,2,Red,Orange,,,,Draw DP Base 1,Recycle 1 from Diagonal Gates,,,,,
Explosive Hammer,3,1,Red,Violet,Pink,,Quick-Set,Recycle 1 &: Two-Step,Faceup End Phase: Recycle All Parries & Responses,,,,,
Burnt Reserves,4,2,Red,Green,,,,3+ Sets Among All Players: Gap All Opp Sets,Draw 2,,,,,
Burnt Out,1,2,Red,Orange,Yellow,,Opp Responsive,Scrounge 1 & Gap Opp 2,Scrounged Overpowers Self: Scrounge 1,,Contain,,,
Carapace Coconut,1,5,Orange,Yellow,Blue,Red,Heavy; Cannot be moved by Effect,Exchange ED & 1 Rend,Quick-Armor 5,"Some call him a kleptomaniac, he thinks it's just economical",Coconut Crab,,,
Carapace Horseshoe,3,1,Orange,Yellow,,,,Rend 3 Controlled,Exchange 1,"For being so short, he really knows how to punch up.",Horseshoe Crab,,,
Carapace Arrow,4,2,Orange,Red,Magenta,,,Rend 1 Gate 4,Remise (2 DMG/ Heal 2),She's always talking about piercing through the heavens.,Arrow Crab,,,
Carapace Hermit,2,3,Orange,Yellow,,,,Rend 2: Send the top card of a draw pile to a different draw pile.,Scrounge 1 GZ Base 3,Hermit is not very fond of xenos.,Hermit Crab,,,
Carapace Spider,5,4,Orange,Red,Blue,,,Rend 5:  Send the top 3 cards of a draw pile to a different draw pile.,Bounce 4,"Like a marionette, you'll always find Spider pulling the strings.",Japanese Spider Crab,,,
Binding Cactus,1,2,Orange,,,,,O Leader: Steal 1,Exchange 1,It's a bit hard making friends when you can only give them thorns.,,,,
Binding Agave,2,1,Orange,Blue,,,BLK 5,Burn Shove ED 1,Parried/ Parrying: Exchange ED 1,,,,,
,,,Orange,Magenta,,,,,,,,,,
Binding Aloe,5,1,Orange,Cyan,Blue,,"BLK 2, 3, 4, & 5",Recruit 2 & Set 1,Parried: Exchange 2 from Stack 4,,,,,
Iron Spire,2,4,Orange,Violet,,,,Block 1,Faceup/ Held: Block Cards can +DMG,,,,,
Iron Devourer,3,3,Orange,Violet,Yellow,,,Attacking: All Blocks +DMG,Rend 1 Opp Held,,Denji,,,
Tact Iron Carpet,4,5,Orange,Cyan,Green,,Heavy; Cannot be moved by Effect,Mimic Top Rends 1,Block 1 & Opp Miss: Next Play Doubles, ,Yodan Shifour,,,
Iron Brick Storm,2,4,Orange,Yellow,Green,,,Opponent Drought 2; The Opponent draws 2 less card,"Wavering Block 3; When taking DMG, you may burn this to negate 
3 incoming DMG",,,,,
Iron Owl,1,1,Orange,Yellow,,,Heavy; Cannot be moved by Effect,Scrounge Base 2 & Disarm Opp Next Play,Brink Block All &: Drought 3,,,,,
Bluffing Ante,2,4,Orange,Green,,,BLK 2,Draw 4 & Rend 2 Helds,Parrying: Gap DP 4,,,,,
Upping Ante,2,2,Orange,Blue,Pink,,BLK 3 & 4,Parrying: All BLKs are 1,Parrying: Parries End: Parry Loser Takes 1 per Parry,,,,,
Hidden Mine,2,3,Orange,Magenta,Yellow,,,Opp May (Mute 1 Round / Drought 2),End Phase: Reclaim,,,,,
Mind Mine,3,4,Orange,Pink,Violet,,,Recoil,Rend 1 Held &: Opp May (Take 4/ Gap 3),,,,,
Elephant Mine,4,2,Orange,Pink,,,,Opp May (Gift 2/ Rend 3),Block 1 & Opp Miss: +1 Init,,,,,
Binding Mine,3,5,Orange,Blue,Green,,BLK 4,Opp May (Bounce 2/ Shut Down Home),Parried/ Parrying: Shove 3,,,,,
Tianshi Throne,2,4,Yellow,Magenta,Blue,Violet,,Scan All Hands,Stack 1 Gate 3,"From that Throne, what else could you do, but enjoy the scenery.",,,,
Tianshi Solid Dipper,4,4,Yellow,Green,,,,Scan 2 & Gap 1 Scanned,Peeked: Gap Opp ED 1,"Let her cook? Nah, she'd eat.",,,,
Tianshi Liquid Dipper,3,4,Yellow,Green,Orange,,,Draw 1,Peeked: Steal 1,Now here is a man that you should let cook.,,,,
Tianshi Butcher,4,4,Yellow,Red,,,,Gap Opponent 1,Peeked; Recycle Opponent Hand 1,"He may be brutal, but he's not one to waste food.",,,,
Tianshi Astrologer,3,2,Yellow,Blue,,,Lag,Stack 1 Gate 4,Peeked: Burn Shove 1,Maybe she'll fortell your future as well.,,,,
Tianshi Bed,2,5,Yellow,Blue,Cyan,,Lag,Reveal Any Set & Detonate Revlealed,Peeked: Shove Opponent Hand 1,She prefers to keep her lovers close.,,,,
Arid Worm,2,2,Yellow,,,,,Y Leader: Opp Drought 1,Scrounge 1,The earth giveth and it takes.,,,,
Cut-In Seasons,2,4,Yellow,Green,Blue,Red,,"TwoStep; This card counts as both the first and second 
numbers in a Attack or Defense",Disarm 1 Card & Drought 1,,,,,
Rumbling Sinkhole,1,5,Yellow,Blue,Red,,Bide 15 In Gate,Gap All Opp Controlleds,,,,,,
Rumbling Haboob,3,2,Yellow,Orange,,,Bide 10 In Gate,Mute Opp 1 Round,Latent & Plays Here Lag,,,,,
Rumbling Cavern,4,3,Yellow,Pink,,,Bide 15 In Gate,All Gates Recoil 1 Round,+1 Init,,,,,
Divine Insight,2,3,Yellow,Magenta,,,Quick-Set,Unload: Scan 3 & Opp Hand,Reflect 2,,,,,
Eyes of the Strongest,4,5,Yellow,Orange,Blue,,,Scan Opponent Hand 2,Burn 1 Scanned,,Eye of Ender,,,
Sponge Soak,2,4,Yellow,Blue,,,Quick-Set,Fortify 1 Opp Held,,,,,,
Arid Scale,3,2,Yellow,Green,Blue,,,Shove Opp Hand 1,Stack 3 & Opp Feeble: Draw 2,,,,,
Arid Realm Dragon,4,5,Yellow,Green,,,,Drought Opp 2,Drought Opp 1 & Draw 4 - # Opp Helds,,Thuong Luong,,,
Betting on the Strongest,4,2,Yellow,Violet,Green,,,Guess Color & Scan 1,Scanned Guess: Drought Opponent 2,,QQ Hakari Dancing,,,
Arid Forecast,4,5,Yellow,Red,,,Lag,Opp Drought 2,3 DMG,,,,,
Heimbreaker Bjornveggr,3,3,Yellow,Blue,Orange,,BLK 1 & 5,All Players Drought 5,Parried: Shut Down Shove 1 per Parry Seq,,Polar Bear,,,
Arid Rollback,4,1,Yellow,Cyan,Orange,,Lag ,Opp Feeble: Set 2,Scrounge Base 3,,,,,
Grassy Capy,1,3,Green,,,,,G Leader: Gap DP 1,Draw 1,,,,,
Second Chance,1,3,Green,Violet,Red,Yellow,Double,Draw 1,Refresh 3: Send 3 cards in your Hand to the bottom of the deck. Draw 3 cards.,,Mahoraga,,,
Hidden Inventory,2,1,Green,Orange,Red,Cyan,,Exchange 2 Random EDP,Seq: Seal BRV,,toji,,,
Nebula Whale,3,4,Green,Violet,Red,,Canopy 2,Recycle Gap DP 5,Heal 2 / Ripped: Draw 1,,,,,
Nebula Shark,2,5,Green,Violet,,,,May Gap 1 &: Wither; Send the top 4 cards of any draw pile to the gap,Wavering/ Ripped: Snipe Stockpile 1,,Whale Shark,,,
Nebula Squid,4,3,Green,Violet,,,,Gap Hand,Ripped: Leech 1 per 3 In Gap,,Flying Guillotine,,,
Nebula Orca,5,2,Green,Violet,Pink,,Totem,Faceup: Plays Wither  & Take 2,(Bloom 3+/ Wavering Ripped)< Leech 4,,,,,
Underworld Archiver,4,5,Green,Blue,Cyan,,,Mimic 1 Effect from Gap,Set Mimicked,,Trayzn the Infinite,,,
Underworld King,5,4,Green,Blue,Violet,,,Gap 1 Gate Base 3,Renew 1,,Mordekaiser,,,
Gentle Dream,2,5,Green,Cyan,,,,Heal 2,"Wavering: Detonate 3 Sets; If your health is between 5 and 10, trigger the effects of 3 cards in your set zones.",,,,,
Dream Sequoia,1,1,Green,Red,,,Heavy,Wavering: Draw 3,+1 POW per Held,,,,,
Dream Kirin,1,4,Green,Orange,Cyan,,,Heal # Held,Fragile: Set Self,,kirin,https://x.com/VOICENOSAGYOUBA,,
Dream Dino,3,5,Green,Blue,Yellow,,Heavy,Draw BLK 4+'s from Scan 4,Heal 3 per Draw,,Sniffer,,,
Heimbreaker Feitrhross,1,5,Green,Pink,Magenta,,,Take 5,Shove 2 & Gap DP 5,,,,,
Rampant Kudzu,4,4,Green,Pink,,,,Fill 6,Gift Self/ Bloom 2< Draw 3,,,,,
